pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
0.134999 0.139602 0 0.4936 0.939323 0.939831
0.323722 0.337866 0 0.476282 0.227465 0.145069
520 460 0 47 192 240
0.135 0.139606 0 0.4936 0.939459 0.93981
0.343698 0.363456 0 0.357247 0.180354 0.171357
404 365 0 44 162 265
0.134999 0.139596 0 0.4936 0.93955 0.939816
0.340175 0.365053 0 0.512018 0.138389 0.148294
674 624 0 67 195 261
0.135 0.139605 0 0.493601 0.939212 0.939774
0.352753 0.352139 0 0.485888 0.260014 0.225825
621 543 0 71 177 263
0.134998 0.139597 0 0.493603 0.939315 0.939808
0.336732 0.365199 0 0.507568 0.221963 0.182993
417 376 0 37 175 266
0.134998 0.139599 0 0.493601 0.939493 0.939842
0.314384 0.346623 0 0.471057 0.171314 0.130648
636 567 0 66 190 249
0.134991 0.139602 0 0.493597 0.939222 0.939808
0.346816 0.378554 0 0.453688 0.232177 0.190463
550 505 0 61 179 258
0.135 0.139603 0 0.493601 0.939349 0.939815
0.313069 0.338193 0 0.446631 0.221807 0.177475
797 681 0 81 221 267
0.135003 0.1396 0 0.4936 0.939121 0.939771
0.369745 0.369232 0 0.495688 0.271422 0.244116
617 538 0 65 216 232
0.134997 0.139605 0 0.493607 0.939183 0.939832
0.330093 0.366122 0 0.429158 0.270377 0.177736
495 412 0 57 189 248
0.134998 0.139599 0 0.493596 0.939363 0.939841
0.347878 0.366182 0 0.459711 0.194666 0.162597
405 347 0 42 187 255
0.134998 0.139603 0 0.493602 0.939408 0.939818
0.339158 0.367414 0 0.514319 0.154272 0.151822
530 454 0 58 197 258
0.135001 0.139598 0 0.4936 0.939245 0.939816
0.340316 0.397806 0 0.525266 0.261429 0.158475
492 398 0 46 180 258
0.135004 0.139596 0 0.493603 0.939386 0.939815
0.326023 0.347713 0 0.462772 0.179153 0.176785
419 402 0 47 182 250
0.135001 0.139598 0 0.493602 0.939437 0.939834
0.339265 0.361824 0 0.563995 0.183879 0.151796
488 421 0 38 203 236
0.13501 0.139598 0 0.493601 0.939299 0.939832
0.333305 0.35662 0 0.499285 0.193804 0.149082
558 484 0 54 204 250
0.135004 0.139598 0 0.493603 0.939295 0.939819
0.326789 0.375767 0 0.414286 0.20883 0.145888
704 598 0 62 188 274
0.135004 0.1396 0 0.4936 0.939181 0.939774
0.326687 0.37759 0 0.504935 0.233268 0.258352
422 365 0 50 185 251
0.135004 0.139609 0 0.4936 0.939378 0.940389
0.343608 0.34997 0 0.424341 0.177938 0.152004
557 513 0 61 192 266
0.134998 0.139592 0 0.493602 0.939363 0.939822
0.335567 0.358063 0 0.525153 0.205404 0.20688
602 543 0 70 188 266
0.134997 0.139597 0 0.4936 0.939303 0.939819
0.354072 0.356792 0 0.424556 0.217342 0.168633
427 403 0 49 195 242
0.135003 0.139598 0 0.4936 0.939342 0.939822
0.334835 0.364839 0 0.433214 0.171684 0.157689
626 527 0 68 206 261
0.135006 0.139602 0 0.493598 0.939247 0.939803
0.347118 0.394657 0 0.421714 0.282212 0.202982
432 373 0 40 184 244
0.135004 0.139596 0 0.493605 0.939422 0.939839
0.335035 0.358967 0 0.539512 0.154693 0.130626
723 638 0 80 203 259
0.134997 0.139604 0 0.493596 0.93912 0.939792
0.351159 0.369722 0 0.453593 0.257469 0.246717
488 403 0 54 179 243
0.134997 0.139593 0 0.493601 0.939471 0.939819
0.339207 0.368486 0 0.461047 0.156208 0.151439
614 509 0 64 203 256
0.134999 0.139603 0 0.493601 0.939262 0.939823
0.349362 0.364063 0 0.407703 0.220604 0.166285
469 407 0 55 183 261
0.134985 0.1396 0 0.493604 0.93934 0.939833
0.371093 0.375502 0 0.449195 0.218602 0.193131
488 415 0 53 197 245
0.135003 0.139598 0 0.4936 0.939499 0.939841
0.360751 0.377235 0 0.515829 0.180083 0.118717
395 334 0 28 188 249
0.134998 0.1396 0 0.49362 0.939395 0.939857
0.310729 0.362704 0 0.4572 0.163219 0.116243
753 615 0 86 217 256
0.135 0.139599 0 0.4936 0.939166 0.939797
0.339856 0.376111 0 0.544472 0.252545 0.221022
398 325 0 36 201 244
0.134996 0.139601 0 0.493598 0.939407 0.939846
0.352077 0.365349 0 0.445639 0.18879 0.116322
695 633 0 71 206 255
0.135 0.139599 0 0.4936 0.939183 0.939785
0.344528 0.361453 0 0.450468 0.244109 0.211263
600 506 0 73 190 259
0.134998 0.139602 0 0.493599 0.939241 0.939785
0.326297 0.373699 0 0.420133 0.217629 0.17847
586 534 0 67 204 256
0.134996 0.139597 0 0.493601 0.939251 0.939824
0.354557 0.377332 0 0.457126 0.225278 0.181887
428 372 0 47 175 251
0.135 0.139607 0 0.4936 0.939441 0.939841
0.356677 0.362732 0 0.495017 0.166423 0.142319
458 390 0 46 189 258
0.134992 0.139589 0 0.493598 0.939345 0.939828
0.340039 0.365214 0 0.518233 0.2103 0.168167
571 539 0 61 185 258
0.134995 0.139593 0 0.4936 0.939361 0.939827
0.360245 0.380815 0 0.53952 0.18937 0.178281
771 659 0 74 194 272
0.134997 0.139601 0 0.4936 0.93924 0.9398
0.3385 0.358197 0 0.493745 0.230687 0.21408
413 373 0 47 187 251
0.134998 0.139604 0 0.493596 0.939419 0.939852
0.343883 0.353302 0 0.482111 0.197561 0.136306
521 460 0 56 186 259
0.135006 0.139604 0 0.493613 0.939402 0.939808
0.346155 0.376067 0 0.449859 0.204574 0.167102
686 602 0 73 200 271
0.135001 0.139595 0 0.493599 0.939195 0.939804
0.361838 0.364735 0 0.507109 0.263612 0.23643
466 399 0 48 184 263
0.134991 0.139601 0 0.49359 0.939336 0.939809
